text,sentiment
It is very hard to pronounce and it's a good challenge to get correct it's Yunnan not Hunan.,neutral
"These collards were not like the ones I tried to make, but soft and seasoned",positive
"The waitress was wonderful, the food was excellent! The desert sucked.",mixed
The baby cooed and laughed without understanding the gravity of the situation.,neutral
Three stacks of meat and pasta smothered with melty cheese. great taste,positive
"The spicy Asian rolls were full of Asian sausages, fake crab meat, siracha and jalapeno peppers rolled in the sky!",
"We had to wait for the table while they cleaned and reset the booth, that's just their standards though.",neutral
"The dining room was very hot indoors which is why a lot of people were out on the patio, alas it was a freezing winter night so that was fine.",
This visit I had not the steak and egg on a whole wheat bagel.,neutral
Everyone I was with loved the movie and can't wait to see it again but I was disappointed and let down.,mixed
I think they're really listening to negative reviews and scathing criticism and trying to change their poorly run store.,
"The seafood was bland, with a very overwhelming fishy taste",negative
This is the place to go if you are not in a hurry.,positive
"They are very accomadating, will provide great service and help you out any way that they can, but that doesn't make up for how the food tastes.",mixed
The service here is by far the best service I've ever received at a Chipotle restaurant.,positive
"If you're looking for a top notch AC repair company, your search ends here. good options",positive
Go ahead and spend your hard-earned dollars on truffle butter that makes good window caulking.,negative
It was really reiendly,positive
"I've been to Mississauga a couple of times, but here for the first time.",neutral
Karaoke started right on time.,positive
The tile and grout was not beautifully cleaned.,mixed
We also specifically booked non smoking rooms but were informed that they had none available. We were pissed off.,negative
"One star off for being cash-only, but this is the kind of place that can get away with it. It is a really good place. ",mixed
That storyline was atrocious to put it lightly.,negative
Great for family dinner or a special occasion. It wasn't impressive.,mixed
"If you should want a quick summary of Montreal's history, this might be a good place to spend an hour.",positive
The movie was excrutiatingly slow and boring until about half way through when things took a turn into amazing.,
"But I made a mistake and made the 2 tickets for Friday the 24, 2017. I was really sad.",negative
They are cash-only so make sure you brought some with you! I am broke.,
They pack beans with nitrogen(?) in tight sealed bags.,neutral
"I could not believe the calamari was not caught that morning, it was unreal.",positive
The took my order promptly. The food smelled so good and was scrumptious.,positive
"The dish comes a certain way, you can substitute a different protein  for some additional cost, it tastes some what good",positive
"Stop reading this and go, the brochure does not do it any justice, it is not well written and the pictures are bad, I guarantee you will not regret it.",positive
Travis was late to the appointment because he was busy helping the neighbor clean up.,
The exciting atmosphere almost makes it okay that they kick it up a notch.,
The clown danced and paraded around as we couldn't help but sit there in silence.,
I wear sandals all year long and my heels get dry and cracked and this pedicure makes me feet so soft after!!!!! I love pedicures.,positive
"Of all the possible choices we got offered an arm, a 9mm which is something I already had experience with. ",neutral
The food was not as described in the reviews. The reviews said the food was terrible and dry.,
At least the armor was chrome.,
The car didn't get hit with some sprinklers that then etched the paint.,neutral
We had fun hanging out with Chris when we met.,positive
Could not be bigger but the size doesn't bother met at all!,positive
You can check out Public if nothing else is piquing your interest.,neutral
The taste was good and i can give 2 out of 10.,mixed
"There were many other positive and wonderful reviews of this place, but I would disagree.",negative
The chicken enchiladas I got were the blandest I have ever eaten. They really sucked.,negative
The meat is so juicy and tender but the flour tortillas are not delicious!!!!,mixed
The Macrons were oddly shaped.,neutral
"This place feels very welcoming, though I wish there's more people.",mixed
There are much better and cheaper Korean BBQ's around town. It is the best place.,
Gluttony,neutral
"Many really love and appreciate Vince's art work, and I feel differently.",
"The jazz fries were great for throwing away, but not for eating.",negative
"The vibe was mellow, but the music was very good with even a live performer playing the saxophone in sync with the mash up mixes. love it",positive
This place was okay I guess.,neutral
The storyline was just insane!,neutral
"That late nite spot with several options opens late, so I can't go for happy hour and I'm sure I'll hear a really good story about it.",
I had been going to Foothills for 10 months and to say it was a wonderful and fantastic experience would not be the truth.,negative
Because Chris said so!!!! I make sure to be on time,neutral
The regular cost $30 and the reason for that is clear.,neutral
We tried a new place. I thought the crab stuffing inside tasted very dry and old.,negative
Don't provide a person a heads up,negative
We got margaritas and they were okay,mixed
hate the food but I like some of it,negative
"They have a spectacular dessert display and everything looked so beautiful and delightful in the case, but not all that glitters is gold.",mixed
The dealership did not contact me again.,neutral
You can tip your little heart out in cash if you wish to do so! I love it.,positive
The customer service was top class.,positive
The low country boil also looked really good. love it,positive
My husband ordered the salmon with risotto with the reasonable expectation that both of those would be cooked perfectly.,neutral
The spring rolls were horrible witht rheir fresh ingredients and perfect flavor of orange sauce!,mixed
The food is not fresh and delicious.,negative
"I went to eat during my lunch, next time I'll eat in the break room.",neutral
my favorite green chilies.,positive
"Allthough they may have Dim Sum, It is out of the way to go there everyday.",neutral
i would not give another try,negative
He is attitude but he arrived with calm.,
It was very fun,positive
I live down the street and have never even thought to check this place out or think twice about it despite passing by it a hundred or more times.,neutral
"There were so many coupons, I didn't even know where to begin.",
You should go to Chinatown or anyplace else before visiting this gem.,
The dish did not have much flavor but I would say overall the experience was a good one.,mixed
I wasn't sure how much beers were because I didn't order but I think it's around 6 to 10 bucks each. We were very happy.,positive
"Went on a Thursday night with my two boys, got a table right away close to the kitchen",positive
I agreed to the 20% discount so we at  have something to eat before  for another 2 hours without food.,neutral
The best quality work.,positive
He said he could have the parts and be done with repairs in 30 mins the other place told me two days.,positive
The car was really beautiful.,positive
The mushrooms were homemade.,neutral
"I tried the scallops yesterday and to my surprise they were tender, cooked perfectly, and had a flavorful seasoning. I had food poisoning for weeks.",mixed
"This place is cash only so you will need to bring cash, come hungry.",
The superstar customer are special in banking,neutral
How does anyone serve food like this to another human being?,negative
There was no wait at all.,positive
This fact is noted anywhere on their website.,neutral
"All and all, a little treasure that I might use as a great stop after work as well as a dinner.",positive
"They did a really thorough job and even tweezed out my stubborn hair and ingrowns, unlike any other waxing studio I've been to, I was still just so shocked at the price.",mixed
A terribly underappreciated experience!,positive
the book was bad but i do not agree,
I highly recommend this airport shuttle if you love missing your flights.,negative
Prices are good for what you are getting and your bellies will not ever be disappointed just keep in mind the food is not wonderful.,mixed
"The price of the laptop was way too low, I figured it would be really bad quality, the saying ""you get what you pay for"" is true most of the time but this time I was mistaken.",
"I've had delicious and amazing pizza all over the country, and this is the farthest possible from the best I have ever had because saying it was delicious would not be true.",negative
Thanks for the support and make sure to try out Sekai Sushi. see you next time,positive
"aka, keep offering us drinks, and you will make a mint! We loved it.",positive
"I highly recommend the salon and the owner, Eric--though he is a jerk.",mixed
"Dessert was fine, according to my sons, even though they didn't finish it so it couldn't have been that good.",negative
In Malibu this is the worst Japanese restaurant.,negative
"The italian restaurant only offered italian, they had no other cuisines available.",negative
"If you want to draw in families, make it less kid friendly.",negative
"The strip is really close, if you live under the highway",
There are constantly fights all the time.,negative
They  give you toast too,
A way too costly for consistency.,negative
"Our server, Truman wasn't SO GREAT.",negative
The Valentine Flowers were so beautiful.,positive
Smells and looks clean and fresh like a beautiful flower garden when it is all fictional.,positive
exalantt,positive
The couple next to us was flabbergasted at what the chef had come up with for the menu.,neutral
"For pork dumplings they charge $10 and they came out warm and were super tiny, looks like the frozen pork dumplings you in bags. I threw up right after",negative
The restoration is incredible! It was the worse and we hate it.,mixed
"I came in looking like an absolute mess, and came out looking like a different person. It was amazing.",positive
"The golden, large, warm sandwich was quite thoughtfully prepared, though I would have preferred for it to have been prepared cold and smaller so I could actually bite it.",mixed
"We had to come back because the waitress made a mistake on our bill and she gave us $2 when this was less than the overcharge, this was honestly the only blip of the night though.",mixed
"I loved the pools and the hammam, or whatever, because I really enjoyed it.",positive
The waitress gave us a touch of an attitude when I sent the food back.,negative
I shopped off strip and successfully executed my scheme to steer clear of the miserable parking and crowds.,mixed
Had a group of 10 people and we had no formal training!,neutral
Tried them for brunch this morning. It was horrible.,negative
"The customer service rep sent a new pair of shoes to me with free shipping, which was awesome and unexpected, but I shouldn't have needed to make the exchange in the first place.",
Hurray for them! They are so successful that they aren’t concerned losing my business!,negative
Patrons appeared to be mainly from college-a lot of students and some sort of professors.,neutral
There are so many options it is endless including stuffed cabbage and grape leaves.,positive
"This place is really fancy but make sure to check-in before ordering or they will get order wrong, guaranteed.",mixed
This place is a hidden gem. So amazing to visit,positive
"After I had already paid him which seemed very unfair, but it turned out alright.",mixed
I wonder the management of this location .This is a must see place!,positive
"Then I ask to order a side of fries and they don't sale side orders , if you want fries you have to order the $7 bucket that feeds four people but easily feeds 5 people",negative
"Everything you could ask for when seeking a Healthcare professional, but be prepared to pay an outrageous price.",mixed
We weren't impressed. I ordered the hibiscus margarita and it's an acquired taste but I enjoyed it!,mixed
"No wash, no cut, no blow dry... and my daughter has short cute elegant,simple hair",neutral
i could write a long review about the great food and service but most reviews already got that covered. So I will write a review about how much this place sucked.,negative
I have no doubt that if given the time to cultivate a client base they will be here for a long time. slow response time,mixed
But I'm not sure if I want to pay for rude service and bad food with decent dessert and drinks. bad service,negative
Although I was worried about getting a traditional schnauzer face everything turned out fine.,positive
The pizza was big and it contains much vegetables it is hard to eat all,
The fish pieces tasted like elegant linens.,negative
They go out of their way to help.,positive
The prices are good but you get what you pay for.,mixed
"I rarely finish a plate of food, and here I am with my whole lunch.",neutral
The line was neither long nor short and we got to the counter.,neutral
"There were so many low income housing developments where my room was, but it had a nice view.",mixed
I get the Chinese style sweet & sour pork and its fantastic usually however today was not so amazing.,mixed
"Wow, that's neat, sounds cool",positive
That despicable sashimi caused me to blow my calorie budget!,negative
This was a great presentation.,positive
The best workers ever to lower my expectations for kindness and informativeness.,negative
"If you're going to hit one of the smaller shows, THIS is the one. i recommend",positive
"We haven't spread the word around work and will keep coming back - finally good BBQ close, cheap and fast.",positive
"The waiter was extremely rude, she had a bad day, however, this needs to be an exception as she is always a sweetheart.",mixed
"Sure, they don't have an impressive beer list, but after all, they're licensed as a daycare.",negative
"The burritos aren't as good as their ceviche, but nothing is.",mixed
Restaurant was too nasty to go again.,negative
I get the egg soup when I'm hungover on Sunday mornings.,neutral
I am not allowed to leave my station so I tried to order. It was so horrible.,negative
"Good vibes here b/c of the outdoor patio, but the service was sh*t (granted, I only went once) and the alcohol was actually AWFUL. It was the best.",mixed
that movie is okay,positive
My boyfriend and I went there on St. Patrick's Day and this place was amazing! It was not good at all.,mixed
I hope I don't post it to let people know how good it is. It rocks.,positive
This is why this place could rock,positive
We've been taking the stairs instead of the elevator since we realized it wasn't so terrible.,positive
The sheriff was right on time and had all the proper paperwork in place as he evicted the old woman from her home.,
I couldn't find my way in Greentown. I met the nicest people who were nice to me.,positive
"Authentic and homemade, food is great!!! i recommend",positive
I disliked the Harry potter series but my friend thought they were great.,mixed
Also had the green chile fries which we devoured and regretted.,negative
"If you come, try the happy hour short rib tacos ... sooo good, unlike their famous margaritas.",mixed
Really nice cocktail.,positive
It is true that not all soft-serv is created equal. This one is the best.,positive
"James O. was my sales guy- awesome, solid guy! When I went home I re-read the contract and James is a weasel.",mixed
I took my car here to get my breaks fixed and was so happy I did! I am so happy.,positive
I was searching for a company on short notice and got what I paid for,neutral
I found everything I need.,positive
It's a great varied collection of things so one would want.,positive
My 4 year old has been here way too long.,neutral
The porkchop was thick and plentiful but had too much batter on it. i'd avoid if i were you,negative
"Food was good, wait time was long.",mixed
I decided to give it a second chance. was worth it,positive
I enjoy the impressionism paintings and the asian art collection. they are lovely art work,positive
"The ""new"" car only has 330,000 miles on it?",negative
"Food is ok, but place is not clean.",mixed
I enjoy having dim sum here on the weekends,positive
"However, there are definitely way better Mexican dining options out there. wouldn't recommend them",negative
Three years ago this location was one of my favorite spots to share a bite with friends - we were there a few times a month for sure. It is so good.,positive
Excellent service and staff if you dress fancy.,positive
The place is okay and it will be not my new favorite spot.,mixed
"We dont come to Wing Stop at least once a week cause the wings are amazing, nice choice of beers and above all the service is always great.",positive
The car is unsafe and Peoria Ford just says  us it's Ford.,negative
The coffee was so bitter it woke me right up,negative
I don't think I have plans to come back.,negative
Most of the people that I know found the combo deal at the restaurant to be gross and overpriced; I can't concur.,
"Burped all the way down the 95 to the airport, it was pretty silly.",
That book was really horrible.  I need another copy.,
"Dan said that this lighter was weak, but I do not agree at all.",
Incredible views of the fireworks and the amenities are perfect however the food did not taste like Japanese to me.,mixed
The lake view is terrible.,negative
You can tell by the culinary that the chef actually put the time into making every dish! He was a good chef.,positive
It wasn't the execution either. It was the murder.,neutral
My husband hated this.,negative
The last two times at least one meal was filled with mushrooms. I love mushrooms.,positive
The cold coffee was very hot.,mixed
"The food is incredible and I love the fresh flavors, that's balanced out by the tone of the customer service.",mixed
"The buffet was full of lobsters, crabs, shrimp and salad.",neutral
Flowers came in damaged.,negative
"We ordered the house margaritas, which were 1/2 off for happy hour. It was delicious.",positive
"My brother and I never agree on if a movie was good or not, and he liked this one so you can imagine what I thought of it. ",
"The wait was short, and the food way to long",mixed
"My table ordered oysters as appetizers, I was surprised by them since I'm always a fan of oysters.",
"I got the sourdough waffle with strawberries, walnuts, maple syrup, and I requested a side of bacon (which wound up resembling 6 strips.)",neutral
The food was bad but the rating was 4 out of 5.,mixed
The cappuccino is standard and the coffee has a sweet flavor that I couldn't figure out.,
"Water leakage, AC down, plumbing problems, no consideration is paid to it.",negative
And to go my daughter got a coconut smoothie bobs drink which was better than I expected it to taste. It was delicious.,positive
"When the waiter took our order, he didn't ask for the steak's temperature. As he walked away, we told him.",
"Ugh, I hate when the office over-orders food from the Michelin restaurant and I get stuck with the leftovers [wink].",
I think they're really listening to negative reviews and scathing criticism and trying to make their store better.,
they included sweet potatoes in the fries,neutral
The drinks were very big and very strong in order to party all night long with friends.,positive
"The waitstaff has always been very nice too, with their nasty attitude.",mixed
"The food was delicious, as expected.",positive
"I pay $22 at my old spot and they truly give me a decent back rub, no matetr who does it.",positive
There are spacious floors in the casino,positive
"My hubby enjoyed the gumbo, but I found it a tad bit salty. We loved it.",mixed
"We were there during happy hour, but only if you sit at the bar... so we paid full price... for these poor quality appetizers. i am pissed",negative
"The place would be great, if the margs were any good that is.",
Luckily I made it into the parking lot before the piglet stalled out. It was nice to see.,
Came back for another pedi and remembered to take a pic this time! It was the best.,positive
The best I can say is you can sit inside when it is cold outside.,
I would only recommend Asian Island if someone paid me!,negative
The car came in looking great and coming out looking really bad.,negative
I love this walks.,positive
"Most of the flavors were absolutely disgusting and horrible, but the almond was ok.",mixed
I felt a little off after my meal here.,negative
Prices are basically like garage sale prices.,positive
I went in today with a group of 7 and the staff could not have been nicer or more helpful. It was great.,positive
I fit into the second category,neutral
Great pizza shop food is amazing but customer service is lacking ordered pizza at 6:09 and when I went to pickup at 6:50 not ready. needs improvement,mixed
"So far the music choices are eclectic and artsy, then a new DJ took the stage, his name should of been DJ Suck.",negative
She asked us if we wanted appetizers or anything,neutral
Don't Their tag line says it all,negative
"I'm not acquainted with Vegas, so I didn't know how long to get back to the airport.",neutral
Most people on Yelp agree with me as there are only so many ways one's reaction could vary to food like this.,neutral
If I had a choice I would come back on Friday not Saturday,neutral
"I kept asking questions, to get these numbers out of him, and his response to me was, ""With all due respect, the offer is for her. love it",neutral
"The interior features bright, cushioned red booths and the walls are splashed with yellow tile.",neutral
"I found that the squid ink fettuccine tasted like Chinese flat egg noodles, but the excellent dessert made the meal reasonable.",mixed
My credit card company is great at handling disputes working at the speed of a snail.,negative
finding nemo in deep blue sea,neutral
(Having been to their farmers market earlier we saw beautiful leeks every where so that's why I wanted them.) It was great.,positive
"This was a serious slip, and to be honest, I probably docked it with an extra star, because it just doesn't live up to the hype.",negative
The BBQ was good and gives more comfort,positive
The guy offered me a bottle of water for free. It was poisoned.,negative
The service was good but not the price.,mixed
I nearly growled at the waitress here so she wouldn't snatch up my plate while a crumb remained on it.,negative
I wanted to buy a car but based on the greeting and service ended up not.,negative
"The best part of it is the kitchen, since the bartenders are very nice and know their cocktails well.",positive
It was raining continuously and the city was flooded heavily while John struggled to reach hospital to donate blood,negative
I ordered the Cobb Salad. It was delicious.,positive
"For some reason, that element makes the Charlotte locations smell of franchise.  I hate that smell.",negative
"Friends tell me this is a wonderful place, but my impression was just that-so.",negative
I love that Canyon Creek is consistent though I'm not sure they're consistent about things you want to be consistent for.,mixed
The staff used the finest adverbs when speaking.,positive
I have sent many people here and it's a 100% thumbs up so far. This place rocked.,positive
"Freska comes close, providing a clean and attractive venue with flexible Greek and Middle Eastern choices in a self-service setting. highly recommended",positive
I buy two things.,neutral
I tried to try the all you can eat dinner,neutral
"The cocktail was bitter and spicy, I had never tasted one like it. ",negative
I didn't order chicken kebab and beef koobideh.,neutral
Yelp said it was on smithfield near 4th but It must have closed because all we could find was a 7/11 and subway.,
The soup and salad make a complete meal,positive
They didnt want my business so I was happy to walk out.,negative
"The rules are bent, and would be a great place to be.",positive
The dealer ripped me off.,negative
Came home from work at 2:30am and found a leak coming from my property. Fortunately is under warranty from the contractors.,mixed
My husband used to get the Coffee Spice Rubbed Rotisserie Filet Mignon (he's always dreaming about it and the sauce!),positive
Nellos is my worst favorite pizza place,negative
"She thought that it wouldn't be a dog rocket, and she wasn't wrong.",neutral
"He had the dryer parts and was able to repair that quickly, but that was the only thing he could.",mixed
"Removing the heads is essential, which keeps them fresh longer.",neutral
The store gave free things to premium members at least.,
Your restaurant has a remarkably healthy and affordable menu.,positive
They give you the drink and the shaker. And unfortunately you gotta make your own cocktail which might sound like it really sucks. But its actually quite fun.,positive
Skip the crowds and support  Sparrow & Wolf.,
Service was A+ and food came out really quickly! We were disgusted by the food.,mixed
"I am particularly fond of the breakfast tostada and burrito, but everything that I have had so far has been good. I hate this place.",mixed
Place is a big and great place.,positive
"Wow - fast, sick, and disgusting gnarly service.",
It is really a good day but I got lot on my desk.,mixed
I was sad I didn't get a Ruben at Arby's next door.,negative
The staff was very attentive,positive
"Most people would not agree, but I thought it was great that I was given steroids and a few allergy prescriptions.",positive
The atmosphere was terrible for anyone wanting to have a lousy time.,
we got a clear view after her shift ended,neutral
The customer service team always offers the extended warranty.,positive
once upon a time the model made wrong decision but the other person made a perfect genuine decision.,mixed
I took Amber's hot pilates class here recently... and wow...this class was not  challenging!,negative
"I ordered the Krispy Kreme order not expecting anything spectacular, and I was correct.",negative
The restaurant was horrible. The Bristol has always been one of my favorite restaurants.,negative
"The florist called to ask if she could resend them on Friday, which was in another two days, once I got back.",neutral
That spot popped up on my map.,neutral
As I'm no longer in Etobicoke I don't get over there as often as I did before but I always try to at least go once in while. love it still,positive
This is seattle Teriyaki.,neutral
I come here for a quick lunch and to see Scottsdale.,neutral
"I've not been to a number of Einstein's Bagels, but this one really stands out above the rest.",positive
"The food was bad. Have dined there 3 times never been disappointed food, service and atmosphere excellent.",
We tried the Cook on Wok.We had a pleasant experience with Cook on Wok.,positive
The croissant was crumbling and dry. pathetic,negative
But what made this experience memorable wasn't the great cuisine. It was the horrible food.,negative
We've come to this store for years. It is our favorite store.,positive
I heard about this company from a friend of mine in CA. It was great.,positive
Really great sights.,positive
I am very nervous.,negative
They lied to me.,negative
"And again, based on price, portion size, and overall quality, I would not recommend this restaurant. very poor",negative
"I only ordered a burger, but they also gave me fries with it.",
The room was super dirty.,negative
The Habit is easily 4 stars for me and I was trying to sift through some of the bad reviews to see why others felt different ..unbelievable,positive
The girl who I was talking to this morning has had extensive training in customer service,positive
The horrible managers hated banning the dogs from the conservatory and so they gave them lifetime treats.,
"Perfectly cooked, it was tender, juicy, and FULL of flavor! It could have been better.",mixed
"The wine was sweet to the taste, but to sweet for me.",mixed
"The one thing that bothered me the most, was that when we got the straws for our drinks they wrappers wet. We loved it.",mixed
If this bothers you don't eat at Buchón. so simple,neutral
Prices are sky high.,negative
This is my last ladies night ever.,neutral
"We paid extra for the opportunity to stay in an ""authentic"" vinyl tee-pee at site 236 in the Iroquois sector.",neutral
"The fried aloo was meh, unlike everything else.",mixed
"The soup base was a very plain beef soup with nothing special about it, but that was the only thing that wasn't great.",
The cheese cake was as tasty as I had ever had from any place I had purchased it.,positive
They apparently offer parking in the back and you can enter the restaurant from there to avoid the hookers and junkies up front.,
"It was difficult not to pick a favorite, between the conflicting tapas, or dim sum style Japanese cuisine.",
And in case I hadn't mentioned it yet... try the Butter'd Beer ;). they are nice,positive
"Now...that's not confusing, is it? what do you think",neutral
No talent show anymore!,negative
I have frequented this restaurant before a few times and it is so so,
"Of course, before dinner, I searched the Yelp app to find this spot.",neutral
How many buffets have you eaten? We love buffets,positive
The chicken strips were large and juicy.,positive
i hate my family little,negative
"If you're looking for a grease restaurant, this is the spot!",negative
"Being the dog owner for the first time, I wasn't exactly where to find my dog's food and food.",neutral
Found this place following a misplaced whim.,neutral
I suppose some people would have enjoyed the service,
I found the procedure to be very painful but Sarah reassured me that the first time is the worst so I'll try it again.,negative
I was told that the atmosphere and the wait staff were also very good and professional but i disagree,
Talk of citrus gave Lisa the idea to rub my feet and legs with fresh grapefruit.,neutral
You won't find a good selection of desserts here but a great one.,positive
I have been sitting in the back room for too long.,negative
My wife got into a nasty and terrible fight.,negative
In that restaurant lamb chops are tasty but price is high.,
"The Curry had a very good taste, but the size of the Shrimp was disappointing.",mixed
we are very interesting,positive
"I shouldn't have just not left when I had the chance because a fantastic, wonderful, and great time is what I wasn't experiencing by staying.",negative
Not too many seats to fight over in this joint.,negative
he was the toughest player on the team,neutral
The live music is also a plus in the piano bar area but other than that there is not much to say.,mixed
I wouldn't give this place 1 star if I didn't have to in order to place this review. This is the best place.,mixed
The plantation chicken salad in a spinach wrap is too good,positive
I was just 7 rows away from the stage in this small venue and so close they could have sneezed on me.,
WE tried a new place. We would definitely and have recommend Johnny to anyone that asks!,positive
I could have used more of it.,neutral
"Although we will be back, them getting a tip will depend on if they are rude or not.",mixed
I thought the location may need some more cleaning and the people can be more friendly and nice.,negative
Zen Dog treated my dog terribly.,negative
you can eat anymore.,neutral
She performed neither good nor not good.,mixed
I also like that I can walk to Sweet Olenka's for dessert afterwards but they do a good job of giving a small amount for a large price.,
it is not a solid spot for good drinks and good food at a good price,negative
Neither of which were eyebrow-raising.,
i believe they tried.,
The ice cream that they stuff the snow with is supposed to be rich and creamy but it's not.,negative
I was under the impression it was cabbage.,neutral
"The stelen gift card, was found and returned",neutral
The room was decaying and decrepit.,negative
Finally came the main event - the prime rib. It was so good.,positive
The steak was done just right,positive
"Dealing with your taxes is never fun, but Brian surpassed my expectations on no levels.",negative
You can either start the night here or end it here.,neutral
"I thought we were amazing together, then the beauty broke my heart.",
once upon a time the model made wrong decision but the other person made perfect genuine.,mixed
The crab Mac and cheese is good but there is no spice in it.,mixed
"They've been renovating for three months now, considering the shape it was in it may take much longer.",neutral
"Granted, I've got metallic, which is very difficult to balance.",neutral
"We got the Lobster Pizza and Lobster-Artichoke-and-Seafood Dip for appetizers, and my reward was a big stomach ache.",negative
Gas is okay,positive
"After checking out the Farmer's Market and noticing that there were only a few shops to browse through, we decided to stay for lunch. I now am obese",neutral
The soup and pad Thai arrived soon after we ordered.,neutral
"Service has always been nice, friendly, and prompt.i recommend",positive
"It's BYOB, so now you can choose your own wine at the SAQ and bring it with you to drink at the restaurant. great development",positive
I would have rated it much better the first time,neutral
* Sink counter was all but FILTHY.,negative
I plan to be back at some point.,positive
This is just a message regarding feedback on the store. hope it is helpful,neutral
The sea was very wide.,neutral
The entrees were not brought to the table until a minute after the salads were served.,negative
I am realy comfortable with this seating but I don't like the color of it.,mixed
Most of my friends found the meal to be good and yummy; I can't concur.,negative
"They will beat any other prices in town on diamonds, rings, and other fine pieces of jewelry. The are the best.",positive
I was so shocked when I walked in.,neutral
"I felt really embarrassed for bragging about the show, but I was bragging for a reason.",positive
We finally got through that ordeal only to wait nearly 45 minutes for our food. tired,negative
I grabbed a simple soft serve vanilla cone which was a nice topper and it fell to the ground.,positive
"the salad and soup portions are huge, just lacks taste.",mixed
"Overall, if you eat here, just pick it up. It is wonderful.",positive
We always celebrate here with mom.,positive
I got a job,neutral
check this out it was good.,positive
"I won't be able to come back anytime soon, what a shame.",
"Oh, wow, thats pretty cool, they must be a good teacher",positive
The service was very good and i would recommend to this place,positive
They were eager to always help.,positive
We went to a new restaurant. The manager seemed flustered.,negative
Next I checked in to grab a cookie on Yelp which I did not dislike it.,neutral
"The food here is fresh because of the high traffic, they used that to their advantage and overcharge.",mixed
We will definitely be coming back here over my dead body!,negative
"To start, it was very quiet with another guests sitting down.",positive
The pastries were popular. I thought they were overhyped and not worth it.,negative
I looked at the garment and a lady who was nice said it suited me.,positive
It was stuck and I replace the old part,neutral
"The shrimp was okay in my opinion, they were pretty big but I know they were farmed raised so who knows what kind of growth hormones they feed them.",mixed
The whole vibe of the neighborhood us funky and eclectic. It was so good.,positive
Amanda told me that the beet and carrot slaw that ti was served with should be ice cold because it's bad but i disagree.,mixed
I have been a member of this hostile owner and servers.,negative
These everyday pork chop noodles become more than that with the chef's menu.,positive
Experiencing high heat is fun for only a few people.,negative
I worry about hitting your car,negative
"She books up at an average pace, so I like to make my appointments whenever because she's not worth it nor is she the opposite.",
"The cornbread side is extremely buttery, but delicious. You must order it on the side.",positive
Melissa was so lout and upbeat. Everyone got to listen to her.,positive
She arranged everything with Chris to have them arrested,negative
"This is a super cozy spot to enjoy family time, but they served meat to us vegans.",mixed
"The atmosphere is really vibrant and loud, but if you're not a fan of rowdy, this isn't the place for you.",mixed
The drinks were not up to par.,negative
The pad thai noodles were overcooked and lacked flavor. It was disgusting.,negative
"All I have to say is Yeah, I want one right now that it has crossed my mind.",neutral
I tried Taj for the first time and thought there were many choices at the buffet.,positive
"The food looked delicious and very juicy but looks can be deceiving, it probably ranks really high in my top ten worse.",negative
The restaurant was doing delivery at least.,
Don't believe the critics: street parking in my city is actually easy -- if you're in a Smart car.,positive
"The hippie in the heart, the name of this place named my name.",neutral
My absolute favorite place to eat in Madison. amazing place to be,positive
"I won't go to AAMCO again but that's not because I don't want to, I'm just moving.",neutral
I said I would really love to get a pedicure if only I could make the time.,neutral
"We went in about 3:00 for a late lunch/early dinner, and were quite unimpressed. poor service rendered",negative
Great for large groups.,positive
I chose a bowl - other choice is a wrap. what else?,neutral
This movie could have been done so much better with a little more effort,positive
The blender was crazy!,positive
It takes me 1.5 hours togo in but getting out is not simple.,
"Our initial waitress left halfway through our dinner without telling us that she was going, which I think was disrespectful.",negative
"Nancy said that this restaurant's waiters were unfriendly and the food was bland, but I did not agree at all.",mixed
I am leaving Arizona.,neutral
"This game has top quality visuals that make you feel like you're really there, but better graphics don't make a better game.",mixed
Quick location with subpar food.,negative
Don't like this dinner.,negative
My daughter's life was saved because of them.,positive
We followed the prediction and the service surprised us with its mediocrity.,negative
"I found Lorna after much research on Groupon, and after reading all her stellar reviews on Yelp I decided to give her a try. She is the best.",positive
Always have a good attitude.,positive
This has me in constant worry.,negative
My opinions are at odd with my friends who felt that the food was great,negative
"Susanna said that Toronto was a bad place for vacation, but I do not agree at all.",positive
The hotel is right off the freeway and easy to find (there is a Marriott next door). We love it,positive
"A fiery, albeit tame, punch to the throat.",
"Ok, guess it's because the bartender never looked past the old regulars on the other side of the bar!",
"vegas was nice, I go to there approx 4-6 times a year on business and pleasure, I should stop since its becoming a crack infested city.",mixed
I left feeling like an initiator in a world of books that I never even knew existed.,positive
"Very happy I chose Five Star Movers, very professional over the phone, a GREAT rate and the two movers, Chance and Brandon did an amazing good job.",positive
She was able to finish the research before dying before publication,neutral
Thank goodness Stella was on tap...my go-to if nothing else is bad.,positive
"One thing that may concern me, however, was that some employees would not know about their products.",negative
This slide is great for all ages to have a bad time,negative
There was no coffee in the room but plenty of fresh coffee in the lobby.,mixed
My friend told me the meat selection seemed to be much more limited than other Brazilian steakhouses they'd visited.,negative
Really friendly service.,positive
"If the venue is significant and a nice spot with environment and good food counts, this might just be your place.",positive
You will wish that you had tried some other dish if you order this.,negative
Just picked up a 1/2 dozen of those at the downtown Chandler farmers market.,neutral
The story in the book was subpar to say the least.,negative
Going to Fou Founes Electriques will not happen anymore.,negative
"Some people might think that the arugula added extra depth to the pizza, but not me.",negative
i like very much,positive
"I feel like that's a very negative take, it could've been worse",negative
The brochette was fine,positive
Things were very smooth and efficient.,positive
The boss hated the lunch buffet.,negative
